feature,coef,clean_feature
word_tfidf__88,-0.07755357570651564,word: 88
word_tfidf__88 int,-0.03934423824930419,word: 88 int
word_tfidf__89,-0.08117771900034962,word: 89
word_tfidf__90,-0.09734079593496227,word: 90
word_tfidf__91,-0.0954083411376315,word: 91
word_tfidf__91 int,0.05756997897715669,word: 91 int
word_tfidf__911,-0.12246953837040231,word: 911
word_tfidf__92,-0.08687681551795991,word: 92
word_tfidf__93,-0.06435605518340447,word: 93
word_tfidf__93 int,0.017720071147554944,word: 93 int
word_tfidf__94,-0.07809345329553226,word: 94
word_tfidf__95,-0.07437539782363552,word: 95
word_tfidf__96,-0.052182189886469374,word: 96
word_tfidf__97,-0.0925828479280846,word: 97
word_tfidf__98,-0.06684397817668312,word: 98
word_tfidf__99,-0.07351310439454416,word: 99
word_tfidf__9mm,-0.05944620094679754,word: 9mm
word_tfidf__aaron,-0.19410911102879544,word: aaron
word_tfidf__ab,0.01275771479907989,word: ab
word_tfidf__aback,0.057753762759716006,word: aback
word_tfidf__abandon,-0.14130865357478506,word: abandon
word_tfidf__abandoned,-0.09570812337557257,word: abandoned
word_tfidf__abbott,0.11632859868977873,word: abbott
word_tfidf__abby,0.09352692287957769,word: abby
word_tfidf__abdomen,-0.0064478635130430185,word: abdomen
word_tfidf__abigail,-0.11972078020539396,word: abigail
word_tfidf__ability,-0.03180062957306488,word: ability
word_tfidf__able,-0.0028409005271067033,word: able
word_tfidf__aboard,-0.006134859622487281,word: aboard
word_tfidf__abou,-0.020037692944716395,word: abou
word_tfidf__abruptly,-0.022179410228119884,word: abruptly
word_tfidf__absently,-0.032742994600006986,word: absently
word_tfidf__absolute,0.023873722036711256,word: absolute
word_tfidf__absolutely,-0.053197453756061594,word: absolutely
word_tfidf__absorbed,0.13446771662561258,word: absorbed
word_tfidf__absurd,0.056491689505154305,word: absurd
word_tfidf__abu,0.030618980262725755,word: abu
word_tfidf__abyss,0.00831479689869354,word: abyss
word_tfidf__ac,0.11229017126065712,word: ac
word_tfidf__academy,-0.024789574424631984,word: academy
word_tfidf__accelerates,-0.00892008183936166,word: accelerates
word_tfidf__accelerator,-0.08729367163183889,word: accelerator
word_tfidf__accent,-0.07830889485023113,word: accent
word_tfidf__accept,0.10421331218124005,word: accept
word_tfidf__accepted,0.017558344613550356,word: accepted
word_tfidf__accepting,-0.018101934603782243,word: accepting
word_tfidf__accepts,0.018860850525272095,word: accepts
word_tfidf__access,-0.09617068481621634,word: access
word_tfidf__accident,-0.14165001356699122,word: accident
word_tfidf__accidentally,-0.035184568185309364,word: accidentally
word_tfidf__accompanied,0.0020744066357736976,word: accompanied
word_tfidf__accomplished,-0.002635518523991782,word: accomplished
word_tfidf__according,0.0654465546214464,word: according
word_tfidf__account,0.11038083491330078,word: account
word_tfidf__accountant,-0.09352505815533635,word: accountant
word_tfidf__accounts,0.023524013933772153,word: accounts
word_tfidf__accused,0.03260610934865419,word: accused
word_tfidf__ace,0.060684671463629075,word: ace
word_tfidf__acid,-0.05326885867766819,word: acid
word_tfidf__ackerman,-0.0008306732357218947,word: ackerman
word_tfidf__acknowledge,0.08367372012806594,word: acknowledge
word_tfidf__acknowledges,0.038066814277366294,word: acknowledges
word_tfidf__acme,0.10833814090734727,word: acme
word_tfidf__act,0.019700283911402463,word: act
word_tfidf__act like,0.06319247575163459,word: act like
word_tfidf__acting,-0.03278136039632255,word: acting
word_tfidf__acting like,-0.06901396895279713,word: acting like
word_tfidf__action,0.032001827107613366,word: action
word_tfidf__actions,-0.010569085088076132,word: actions
word_tfidf__activates,-0.015403577407400736,word: activates
word_tfidf__active,-0.012091704684078029,word: active
word_tfidf__activity,0.09994559199091019,word: activity
word_tfidf__actor,0.07346053290049874,word: actor
word_tfidf__actors,0.11680258976030711,word: actors
word_tfidf__actress,-0.08806765973914436,word: actress
word_tfidf__acts,-0.0034582304544313125,word: acts
word_tfidf__actual,0.03703285073253591,word: actual
word_tfidf__actually,-0.11602653474891084,word: actually
word_tfidf__ad,0.05533419841360001,word: ad
word_tfidf__ad lib,0.0703386887642315,word: ad lib
word_tfidf__ada,0.11972338455726521,word: ada
word_tfidf__adam,-0.012906558606429556,word: adam
word_tfidf__adam cont,0.03179238717065689,word: adam cont
word_tfidf__adam looks,0.0588031652943527,word: adam looks
word_tfidf__adams,-0.10301183232188185,word: adams
word_tfidf__add,0.005143106349110185,word: add
word_tfidf__added,-0.030883129884098113,word: added
word_tfidf__adding,-0.06907118063219997,word: adding
word_tfidf__addition,0.053488895768731566,word: addition
word_tfidf__address,0.016952274320982706,word: address
